CNPJ,Ano_edit,GRO,DataHora,status
13.338.734/0001-27,2024,6.991555922498897,2025-08-08 11:47,editada
13.338.734/0001-27,2024,6.991555922498897,2025-08-08 12:00,editada
13.338.734/0001-27,2024,6.991555922498897,2025-08-08 13:41,ativa
