2025-07-23 14:36:21 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:36:25 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:36:29 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: calculo_final.py
2025-07-23 14:37:37 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:37:42 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:37:47 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:37:51 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:37:57 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:38:04 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:38:12 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: calculo_final.py
2025-07-23 14:41:43 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:41:49 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:41:54 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:41:58 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:42:05 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:42:09 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:42:13 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 14:43:57 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:44:03 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:44:09 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:44:14 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:44:20 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:44:25 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:44:30 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 14:45:10 | IP: 192.168.101.69 | CNPJ: 13.337.784/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:45:15 | IP: 192.168.101.69 | CNPJ: 13.337.784/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:45:19 | IP: 192.168.101.69 | CNPJ: 13.337.784/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:45:24 | IP: 192.168.101.69 | CNPJ: 13.337.784/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:45:29 | IP: 192.168.101.69 | CNPJ: 13.337.784/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:45:34 | IP: 192.168.101.69 | CNPJ: 13.337.784/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:45:39 | IP: 192.168.101.69 | CNPJ: 13.337.784/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 14:46:14 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:46:19 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:46:23 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:46:27 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:46:35 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:46:40 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:46:44 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 14:46:58 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:47:02 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:47:07 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:47:11 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:47:15 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:47:20 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:47:24 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 14:49:07 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
